circuito,Circuito,LONGITUD,LATITUD,ganador,votos ganador,votos segundo,% ganador,diferencia % con el segundo,CAMBIEMOS,UNION POR CORDOBA,FRENTE CORDOBA CIUDADANA,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,IZQUIERDA AL FRENTE POR EL SOCIALISMO,CONSTRUC.SOCIAL PARTICIPATIVA,PRIMERO LA GENTE,ENCUENTRO VECINAL CORDOBA,POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL,SOMOS,ENCUENTRO VECINAL CORDOBA
160,ACHIRAS,"-64,9944493","-33,17775535",CAMBIEMOS,917,479,"49,80988593","23,79141771",917,479,187,44,48,28,19,23,59,22,15
161,ADELIA MARIA,"-64,02144326","-33,6323453",CAMBIEMOS,2216,1165,"53,83867833","25,53449951",2216,1165,319,78,89,55,45,20,67,27,35
31A,AGUA DE ORO,"-64,29556543","-31,05918661",CAMBIEMOS,799,267,"47,98798799","31,95195195",799,267,242,122,43,19,38,62,18,29,26
162,ALCIRA,"-64,33784763","-32,75808531",CAMBIEMOS,1642,925,"44,74114441","19,53678474",1642,925,415,67,63,202,45,186,76,17,32
102,ALEJANDRO,"-63,71762873","-33,35357908",UNION POR CORDOBA,1511,1229,"44,50662739","8,306332842",1229,1511,265,57,60,41,28,95,60,22,27
119,ALEJO LEDESMA,"-62,62389277","-33,60838039",UNION POR CORDOBA,937,896,"43,19963117","1,890272015",896,937,115,24,34,20,34,57,30,9,13
277,ALICIA,"-62,46580049","-31,93974206",UNION POR CORDOBA,1075,714,"53,16518299","17,85361029",714,1075,33,39,27,94,8,9,17,1,5
336,ALMAFUERTE,"-64,25496578","-32,19167783",CAMBIEMOS,3025,2930,"40,38179148","1,268188493",3025,2930,731,258,145,75,79,90,72,30,56
163,ALPA CORRAL,"-64,74156838","-32,66503569",CAMBIEMOS,379,193,"48,77734878","23,93822394",379,193,102,23,21,18,10,11,11,4,5
316,ALTA GRACIA,"-64,42880601","-31,65866369",CAMBIEMOS,12456,9116,"42,80706578","11,47845213",12456,9116,2930,1233,690,361,539,597,272,539,365
372,ALTO ALEGRE,"-62,88468381","-32,34603155",CAMBIEMOS,299,195,"39,70783533","13,81142098",299,195,150,14,20,10,14,9,29,3,10
46B,ALTO DE LOS QUEBRACHOS,"-65,03823875","-30,54184693",CAMBIEMOS,66,11,"76,74418605","63,95348837",66,11,5,0,1,0,1,0,2,0,0
278,ALTOS DE CHIPION,"-62,33789675","-30,95731339",UNION POR CORDOBA,654,546,"50,07656968","8,269525268",546,654,39,9,15,8,11,4,6,3,11
260,AMBUL,"-65,05482464","-31,48973531",UNION POR CORDOBA,265,231,"43,08943089","5,528455285",231,265,42,15,11,8,10,7,15,8,3
372A,ANA ZUMARAN,"-63,05590607","-32,39128609",CAMBIEMOS,73,23,"55,72519084","38,16793893",73,23,15,5,8,0,2,0,5,0,0
316A,ANIZACATE,"-64,4118248","-31,72062959",CAMBIEMOS,1306,761,"41,35528816","17,25775807",1306,761,481,190,96,28,106,86,41,29,34
120,ARIAS,"-62,40279269","-33,64221077",CAMBIEMOS,2709,784,"65,27710843","46,38554217",2709,784,258,69,81,37,44,48,60,36,24
279,ARROYITO,"-62,97336441","-31,40491029",CAMBIEMOS,6627,5460,"46,44008409","8,177995795",6627,5460,821,233,215,89,110,309,167,153,86
73,ARROYO ALGODON,"-63,16267594","-32,20224553",UNION POR CORDOBA,446,305,"50,85518814","16,07753706",305,446,49,12,22,4,7,5,16,6,5
