circuito_id,circuito_nombre,lng,lat
160,ACHIRAS,-64.9944493,-33.17775535
161,ADELIA MARIA,-64.02144326,-33.6323453
31A,AGUA DE ORO,-64.29556543,-31.05918661
162,ALCIRA,-64.33784763,-32.75808531
102,ALEJANDRO,-63.71762873,-33.35357908
119,ALEJO LEDESMA,-62.62389277,-33.60838039
277,ALICIA,-62.46580049,-31.93974206
336,ALMAFUERTE,-64.25496578,-32.19167783
163,ALPA CORRAL,-64.74156838,-32.66503569
316,ALTA GRACIA,-64.42880601,-31.65866369
372,ALTO ALEGRE,-62.88468381,-32.34603155
46B,ALTO DE LOS QUEBRACHOS,-65.03823875,-30.54184693
278,ALTOS DE CHIPION,-62.33789675,-30.95731339
260,AMBUL,-65.05482464,-31.48973531
372A,ANA ZUMARAN,-63.05590607,-32.39128609
316A,ANIZACATE,-64.4118248,-31.72062959
120,ARIAS,-62.40279269,-33.64221077
279,ARROYITO,-62.97336441,-31.40491029
73,ARROYO ALGODON,-63.16267594,-32.20224553
74,ARROYO CABRAL,-63.40147363,-32.48999224
263C,ARROYO DE LOS PATOS,-65.00369382,-31.76288923
337,ASCASUBI,-63.88910659,-32.16360832
103,ASSUNTA,-63.22564307,-33.63444747
195,ATAHONA,-63.70661585,-30.90335788
75,AUSONIA,-63.24329647,-32.66230608
91,AVELLANEDA,-64.20674487,-30.59508545
164,BAIGORRIA,-64.3594775,-32.84942949
373,BALLESTEROS,-62.98330113,-32.54639097
374,BALLESTEROS SUD,-63.02703884,-32.58960954
280,BALNEARIA,-62.66668818,-31.01083168
42,BAÑADO DE SOTO,-65.05861491,-30.78897169
375,BELL VILLE,-62.68911563,-32.62957567
105,BENGOLEA,-63.67164063,-33.02757676
166,BERROTARAN,-64.39018663,-32.45043133
147,BIALET MASSE,-64.48340658,-31.31896647
376,BISMARCK,-62.7150255,-33.30068936
319,BOUWER,-64.15917233,-31.53077506
377,BREMEN,-62.73145916,-33.464457350000004
282,BRINKMANN,-62.03566287,-30.86747959
261,BROCHERO,-65.01908971,-31.70735017
59,BUCHARDO,-63.50703314,-34.7237856
167,BULNES,-64.67720977,-33.5043356
158A,CABALANGO,-64.55925256,-31.38991562
230,CALCHIN,-63.19940732,-31.66863916
230A,CALCHIN OESTE,-63.27797443,-31.8624135
28,CALERA,-64.33679673,-31.34512938
25A,CALMAYO,-64.46414885,-32.02474113
123,CAMILO ALDAO,-62.09562397,-33.12753856
333,CAMINIAGA,-64.05077284,-30.06748875
351,CAÑADA DE LUQUE,-63.72471074,-30.73750812
92,CAÑADA DE RIO PINTO,-64.21828984,-30.77738826
378,CANALS,-62.88559551,-33.56342181
350,CANDELARIA,-63.80096935,-30.83877898
223,CANDELARIA NORTE,-63.35478636,-29.81636212
135,CAP.B.O HIGGINS,-62.26974685,-33.24823489
231,CAPILLA DEL CARMEN,-63.34254559,-31.50832925
148,CAPILLA DEL MONTE,-64.52586387,-30.85679734
379,CARCANO,-63.10181868,-32.49245538
107,CARNERILLO,-64.02506633,-32.91438238
232,CARRILOBO,-63.11650904,-31.87263349
149,CASA GRANDE,-64.47837932,-31.15392428
124,CAVANAGH,-62.3386924,-33.47834433
227B,CERRO COLORADO,-63.93018073,-30.09724058
168,CHAJAN,-65.00430843,-33.55629599
335,CHAÑAR,-63.94322859,-29.78758061
227C,CHAÑAR VIEJO,-63.85339573,-29.99894735
144,CHANCANI,-65.45137927,-31.41646771
151,CHARBONIER,-64.54289632,-30.77576737
108,CHARRAS,-64.04625,-33.02406304
76,CHAZON,-63.27577122,-33.07763562
382,CHILIBROSTE,-62.51360539,-32.33360465
169,CHUCUL,-64.16972113,-33.00958492
94,CHUÑA,-64.66888072,-30.4684554
360,CHURQUI CAÑADA,-63.92664353,-30.1697841
138,CIENAGA DEL CORO,-65.28273075,-31.04062843
381,CINTRA,-62.65311903,-32.30915402
337A,CNIA ALMADA,-63.86419915,-32.03382953
233,COLAZO,-63.38272228,-31.96467949
291A,COLONIA ANITA,-62.23426409,-31.1200032
29,COLONIA CAROYA,-64.0667175,-31.01819484
201,COLONIA LAS CUATRO ESQUINAS,-63.2231595,-31.20801773
283A,COLONIA PICHANAS,-62.92590493,-31.24574458
30,COLONIA TIROLESA,-64.0408946,-31.14237877
294A,COLONIA VALTELINA,-62.23544349,-31.05315307
33A,COLONIA VICENTE AGÜERO,-64.01850176,-31.02870266
208,COMECHINGONES,-63.60591205,-31.17089639
283,CONCEPCION,-62.81448053,-31.32136161
267,CONLARA,-65.22969397,-32.07819038
93,COPACABANA,-64.50085176,-30.64334359
125,CORRAL DE BUSTOS,-62.18545745,-33.28265298
397A,CORRAL DEL BAJO,-63.03291025,-32.81416346
338,CORRALITO,-64.19314529,-32.02625523
150,COSQUIN,-64.47245239,-31.21888622
234,COSTA SACATE,-63.75988735,-31.64808181
126,CRUZ ALTA,-61.81098492,-33.00801666
43B,CRUZ DE CAÑA,-64.94096565,-31.0669012
44,CRUZ DEL EJE,-64.80625553,-30.72271137
156B,CUESTA BLANCA,-64.58374012,-31.47637247
339,DALMACIO VELEZ,-63.58161593,-32.61128751
95,DEAN FUNES,-64.35165741,-30.42387902
109,DEHEZA,-63.78531521,-32.7559564
60,DEL CAMPILLO,-64.49650345,-34.37523925
323,DESPEÑADEROS,-64.29259445,-31.81511103
285,DEVOTO,-62.30614677,-31.40495635
200,DIEGO DE ROJAS,-63.34007633,-31.02849599
288,EL ARAÑADO,-62.89387779,-31.74151688
45,EL BRETE,-64.87459317,-30.67457436
141A,EL CHACHO,-65.6560511,-30.79930426
212B,EL CRISPIN,-63.60596239,-31.01914318
289,EL FORTIN,-62.3007425,-31.96926685
31,EL MANZANO,-64.29805939,-31.08395384
110,EL RASTREADOR,-63.53833581,-33.66527227
360A,EL RODEO,-63.86493178,-30.1760914
290,EL TIO,-62.828655500000004,-31.38451682
170,ELENA,-64.39293487,-32.57307804
17,EMBALSE,-64.40060657,-32.20750931
385,ESCALANTE,-62.77000219,-33.1730531
202,ESQUINA,-63.79364927,-31.07780226
138C,ESTANCIA DE GUADALUPE,-65.21679088,-31.12849156
158B,ESTANCIA VIEJA,-64.52669121,-31.38690709
77,ETRURIA,-63.24725467,-32.94154001
229A,EUFRASIO LOZA,-63.58936485,-29.92491841
324,FALDA DEL CARMEN,-64.46261324,-31.586612
291,FREYRE,-62.09761034,-31.16537151
349A,GENERAL FOTHERINGHAM,-63.86838532,-32.32227021
32,GENERAL PAZ,-64.14099134,-31.13508195
386,GOULD,-62.72974482,-33.59092011
46,GUANACO MUERTO,-65.06209232,-30.47883272
127,GUATIMOZIN,-62.43790158,-33.46166369
225,GUTEMBERG,-63.51508714,-29.7220003
340,HERNANDO,-63.73185151,-32.42555462
111,HUANCHILLA,-63.636715,-33.66629897
152,HUERTA GRANDE,-64.49300087,-31.06988781
61,HUINCA RENANCO,-64.372473780000007,-34.84080227
387,IDIAZABAL,-63.04760499,-33.53904748
128,INRIVILLE,-62.23062625,-32.9440782
129,ISLA VERDE,-62.40372379,-33.24005315
62,ITALO,-63.7818456,-34.7906095
292,ITURRASPE,-62.11055226,-31.20792047
341,JAMES CRAIK,-63.46577566,-32.16178581
33,JESUS MARIA,-64.09576257,-30.9821558
63,JOVITA,-63.94329953,-34.51799524
34,JUAREZ CELMAN,-64.16410035,-31.27522496
55A,LA BATEA,-65.30704598,-30.3717406
112,LA CARLOTA,-63.29544617,-33.42126811
248,LA CESIRA,-62.97407984,-33.95267213
18,LA CRUZ,-64.4836325,-32.30321892
153,LA CUMBRE,-64.4923889,-30.981427
328A,LA CUMBRECITA,-64.77540536,-31.89683383
364,LA DORMIDA,-63.94970306,-30.35513398
154,LA FALDA,-64.4814706,-31.09391232
293,LA FRANCIA,-62.63256872,-31.40693874
48,LA HIGUERA,-65.10310082,-31.01282989
78,LA LAGUNA,-63.24588322,-32.80257755
316B,LA PAISANITA,-64.48002302,-31.72085054
351A,LA PAMPA,-64.27247716,-30.9434955
294,LA PAQUITA,-62.2150455,-30.90736677
204,LA PARA,-63.00106683,-30.89349013
269,LA PAZ,-65.04821135,-32.21746406
139B,LA PLAYA,-65.36080268,-31.00952184
79,LA PLAYOSA,-63.03127829,-32.10001755
274A,LA POBLACION,-65.02707935,-32.06508096
197,LA POSTA,-63.51600905,-30.56610796
205,LA PUERTA,-63.25326763,-30.89356248
215A,LA QUINTA,-63.15167565,-31.06309335
