seccion,numero seccion,circuito,codigo circuito,centro de votacion,mesa,UNITE POR LA LIBERTAD Y LA DIGNIDAD P195,PARTIDO HUMANISTA P22,CORDOBA CAMBIA A500,ENCUENTRO VECINAL CORDOBA P217,UCeDe 20,POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL P231,UCR 3,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES A830,MOVIMIENTO DE AVANZADA SOCIALISTA P238,HACEMOS POR CORDOBA A601,MOVIMIENTO DE ACCION VECINAL P57,VECINALISMO INDEPENDIENTE P191,UNION CIUDADANA P200,MST - NUEVA IZQUIERDA A300,TOTAL VOTOS AGRUPACIONES POLITICA,VOTOS EN BLANCO,VOTOS NULOS,VOTOS RECURRIDOS,TOTAL DE VOTOS ESCRUTADOS
Capital,1,SECCIONAL PRIMERA,1,CENTRO EDUC.NIVEL MEDIO ADULTO,1,0,0,54,9,0,0,27,16,0,99,1,6,4,11,0,7,6,0,240
Capital,1,SECCIONAL PRIMERA,1,CENTRO EDUC.NIVEL MEDIO ADULTO,4,0,3,59,14,1,0,22,7,1,76,0,6,0,10,217,3,6,0,217
Capital,1,SECCIONAL PRIMERA,1,CENTRO EDUC.NIVEL MEDIO ADULTO,6,0,1,82,15,1,0,22,17,1,58,2,3,4,3,209,13,0,0,222
Capital,1,SECCIONAL PRIMERA,1,CENTRO EDUC.NIVEL MEDIO ADULTO,7,0,3,70,13,1,0,15,17,1,66,1,5,7,0,211,5,4,3,216
Capital,1,SECCIONAL PRIMERA,1,COL NAC DE MONSERRAT,20,0,4,63,15,0,0,29,6,0,80,0,4,4,5,207,3,0,6,221
Capital,1,SECCIONAL PRIMERA,1,ESC SANTA TERESA DE JESUS,45,0,1,56,14,0,0,25,9,0,79,1,1,0,15,201,4,7,1,213
Capital,1,SECCIONAL SEGUNDA,2,ESC JUAN BAUTISTA ALBERDI,55,0,3,49,13,1,0,28,11,2,72,0,3,2,9,0,28,0,4,225
Capital,1,SECCIONAL SEGUNDA,2,ESC JUAN BAUTISTA ALBERDI,62,0,7,45,14,0,0,23,12,0,86,1,1,3,8,200,10,0,5,215
Capital,1,SECCIONAL TERCERA,3,ESC SANTO TOMAS,94,0,1,54,17,0,0,18,15,3,94,0,3,2,11,218,6,2,3,229
Capital,1,SECCIONAL TERCERA,3,ESC SANTO TOMAS,99,0,2,62,12,2,0,16,20,1,90,2,8,3,7,217,5,2,1,225
Capital,1,SECCIONAL TERCERA,3,ESC NORMAL ALEJANDRO CARBO,100,0,0,68,22,0,0,20,18,1,76,1,4,6,8,0,2,9,0,0
Capital,1,SECCIONAL TERCERA,3,ESC NORMAL ALEJANDRO CARBO,109,0,2,74,23,1,0,24,18,0,99,0,0,2,1,223,27,6,0,256
Capital,1,SECCIONAL TERCERA,3,ESC NORMAL ALEJANDRO CARBO,110,0,5,59,17,3,0,24,14,0,79,0,4,6,4,217,7,6,2,232
Capital,1,SECCIONAL TERCERA,3,ESC NORMAL ALEJANDRO CARBO,111,0,1,67,18,0,0,12,9,0,98,0,1,5,8,219,12,5,0,236
Capital,1,SECCIONAL TERCERA,3,ESC MARIANO MORENO,119,0,4,59,22,0,0,26,20,2,86,0,7,3,6,235,6,4,0,245
Capital,1,NUEVA CORDOBA,4,COL NACIONAL DEAN FUNES,127,0,1,62,20,0,0,18,11,0,76,0,4,1,5,198,5,12,1,216
Capital,1,NUEVA CORDOBA,4,COL NACIONAL DEAN FUNES,129,0,2,22,12,0,0,18,17,0,117,1,6,3,7,225,9,4,4,242
Capital,1,NUEVA CORDOBA,4,COL NACIONAL DEAN FUNES,133,0,4,87,23,2,0,20,11,1,65,0,7,4,13,237,18,1,6,262
Capital,1,NUEVA CORDOBA,4,COL NACIONAL DEAN FUNES,134,0,1,70,14,0,0,25,15,0,76,0,1,0,5,207,3,2,0,212
Capital,1,NUEVA CORDOBA,4,IPEM 38 FRANC. PABLO DE MAURO,187,0,5,77,10,0,0,21,13,0,80,0,6,1,10,223,5,4,4,236
Capital,1,PUEBLO LAS FLORES,4A,ESC ERNESTO BANCALARI,189,0,3,18,1,0,0,21,2,0,126,0,4,0,0,175,5,3,0,183
Capital,1,PUEBLO LAS FLORES,4A,ESC COM R ECHEGOYEN,206,0,4,58,17,1,1,25,7,0,117,1,5,2,7,245,8,3,0,256
Capital,1,PUEBLO LAS FLORES,4A,ESC SAN FRANCISCO DE ASIS,212,0,2,63,19,7,0,19,14,3,115,0,10,0,5,252,4,2,7,264
Capital,1,PUEBLO LAS FLORES,4A,ESC SAN FRANCISCO DE ASIS,217,0,2,57,8,0,0,32,16,0,125,0,8,0,4,262,9,5,0,266
Capital,1,PUEBLO LAS FLORES,4A,ESC SAN FRANCISCO DE ASIS,218,0,2,55,16,0,0,31,10,0,121,2,4,3,6,250,1,6,6,263
Capital,1,PUEBLO LAS FLORES,4A,ESC DANTE ALIGHIERI,232,0,12,59,17,0,0,19,16,2,85,1,4,0,6,221,5,7,0,233
Capital,1,VILLA REVOL,4B,INST EDUC NTRA SEÑORA,248,0,2,63,11,2,0,16,6,0,131,0,2,1,3,237,3,0,8,248
Capital,1,VILLA REVOL,4B,INST EDUC NTRA SEÑORA,250,0,0,70,26,0,0,17,16,2,90,0,6,9,3,239,9,4,1,253
Capital,1,VILLA REVOL,4B,INST EDUC NTRA SEÑORA,253,0,2,80,0,0,0,15,12,0,81,0,3,1,11,0,5,0,0,0
Capital,1,VILLA REVOL,4B,ESC ING MASJOAN,259,0,3,59,28,0,0,20,9,1,106,0,7,6,4,243,5,6,0,254
